S.No:,Contract No:,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,'2020102901026379',SHPC,26,14,10,341,3410.00
2,'2020102901026378',API,53,56,100,227,22700.00
3,'2020102901026377',KBL,45,7,80,239,19120.00
4,'2020102901026376',NHPC,33,35,300,112,33600.00
5,'2020102901026375',GBIME,34,26,20,299,5980.00
6,'2020102901026374',NGPL,1,53,500,202,101000.00
7,'2020102901026373',HDHPC,51,32,20,140,2800.00
8,'2020102901026372',AKPL,36,58,10,261,2610.00
9,'2020102901026371',CZBIL,7,34,65,239,15535.00
10,'2020102901026370',PCBL,37,34,1084,334,362056.00
11,'2020102901026369',CZBIL,53,34,50,239,11950.00
12,'2020102901026368',HDL,42,33,30,1875,56250.00
13,'2020102901026367',HDHPC,56,45,10,141,1410.00
14,'2020102901026366',NBB,26,36,200,236,47200.00
15,'2020102903010172',CBBL,58,57,400,1138,455200.00
16,'2020102904004941',GIC,57,49,10,563,5630.00
17,'2020102903010171',NLIC,51,55,20,1414,28280.00
18,'2020102901026365',NBL,33,58,100,348,34800.00
19,'2020102901026364',PRVU,36,51,10,265,2650.00
20,'2020102901026363',GBIME,57,26,730,299,218270.00
21,'2020102901026362',GBIME,57,26,270,299,80730.00
22,'2020102901026361',UPPER,22,48,40,295,11800.00
23,'2020102901026360',HDHPC,5,45,670,141,94470.00
24,'2020102901026359',HDHPC,5,29,330,141,46530.00
25,'2020102903010170',CIT,33,44,10,3719,37190.00
26,'2020102903010169',HIDCL,58,26,10,205,2050.00
27,'2020102901026358',PRVU,33,51,10,265,2650.00
28,'2020102903010168',SHINE,53,10,634,276,174984.00
29,'2020102903010167',SHINE,53,41,200,276,55200.00
30,'2020102903010166',SHINE,53,46,166,276,45816.00
31,'2020102901026357',ADBL,55,49,200,472,94400.00
32,'2020102901026356',PCBL,47,34,61,334,20374.00
33,'2020102901026355',PCBL,47,42,150,334,50100.00
34,'2020102901026354',PCBL,47,45,89,334,29726.00
35,'2020102903010165',GBBL,52,44,100,275,27500.00
36,'2020102903010164',GBBL,52,4,58,275,15950.00
37,'2020102901026353',GHL,48,38,10,126,1260.00
38,'2020102903010163',GRDBL,28,42,10,159,1590.00
39,'2020102903010162',CBBL,52,57,50,1138,56900.00
40,'2020102903010161',CLBSL,6,42,30,693,20790.00
41,'2020102901026352',AHPC,39,38,10,233,2330.00
42,'2020102903010160',RSDC,6,46,300,551,165300.00
43,'2020102903010159',RSDC,43,46,174,551,95874.00
44,'2020102901026351',DHPL,58,22,97,121,11737.00
45,'2020102901026350',DHPL,58,34,303,121,36663.00
46,'2020102904004940',GIC,57,17,10,563,5630.00
47,'2020102904004939',GIC,57,42,10,563,5630.00
48,'2020102904004938',GIC,57,17,10,563,5630.00
49,'2020102904004937',GIC,57,17,10,563,5630.00
50,'2020102904004936',GIC,57,17,10,563,5630.00
51,'2020102904004935',GIC,57,34,10,563,5630.00
52,'2020102904004934',GIC,57,17,10,563,5630.00
53,'2020102904004933',GIC,57,58,10,563,5630.00
54,'2020102904004932',GIC,57,42,10,563,5630.00
55,'2020102904004931',GIC,57,38,10,563,5630.00
56,'2020102904004930',GIC,57,32,10,563,5630.00
57,'2020102904004929',GIC,57,37,10,563,5630.00
58,'2020102904004928',GIC,57,37,10,563,5630.00
59,'2020102904004927',GIC,57,36,10,563,5630.00
60,'2020102904004926',GIC,57,58,10,563,5630.00
61,'2020102904004925',GIC,57,21,10,563,5630.00
62,'2020102904004924',GIC,57,17,10,563,5630.00
63,'2020102904004923',GIC,57,32,10,563,5630.00
64,'2020102904004922',GIC,57,45,10,563,5630.00
65,'2020102904004921',GIC,57,44,10,563,5630.00
66,'2020102903010158',PROFL,34,57,43,141,6063.00
67,'2020102904004920',GIC,48,42,10,562,5620.00
68,'2020102904004919',GIC,48,58,10,562,5620.00
69,'2020102904004918',GIC,48,4,10,562,5620.00
70,'2020102904004917',GIC,48,45,10,562,5620.00
71,'2020102901026349',HDHPC,51,11,10,140,1400.00
72,'2020102901026348',LBL,33,56,820,281,230420.00
73,'2020102901026347',LBL,43,56,180,282,50760.00
74,'2020102901026346',NABIL,49,42,10,902,9020.00
75,'2020102901026345',EIC,35,8,500,536,268000.00
76,'2020102901026344',HDHPC,35,29,10,141,1410.00
77,'2020102903010157',MFIL,22,33,10,333,3330.00
78,'2020102903010156',DDBL,38,28,287,914,262318.00
79,'2020102903010155',DDBL,38,14,45,914,41130.00
80,'2020102903010154',DDBL,38,52,38,914,34732.00
81,'2020102903010153',DDBL,38,45,30,913,27390.00
82,'2020102903010152',EDBL,6,55,345,323,111435.00
83,'2020102903010151',EDBL,6,56,50,323,16150.00
84,'2020102903010150',EDBL,6,16,105,322,33810.00
85,'2020102901026343',GBIME,43,26,200,299,59800.00
86,'2020102901026342',NIL,38,35,10,823,8230.00
87,'2020102903010149',MDB,7,42,200,389,77800.00
88,'2020102901026341',JOSHI,38,36,50,123,6150.00
89,'2020102903010148',MNBBL,40,57,50,368,18400.00
90,'2020102903010147',MNBBL,13,57,350,368,128800.00
91,'2020102903010146',MNBBL,35,57,100,368,36800.00
92,'2020102903010145',GBBL,46,4,10,275,2750.00
93,'2020102903010144',SLBBL,54,34,30,859,25770.00
94,'2020102903010143',MERO,51,1,10,758,7580.00
95,'2020102901026340',MHNL,19,1,10,190,1900.00
96,'2020102901026339',MHNL,19,38,30,190,5700.00
97,'2020102901026338',MHNL,19,58,30,189,5670.00
98,'2020102901026337',MHNL,19,46,30,189,5670.00
99,'2020102901026336',NICL,25,49,100,555,55500.00
100,'2020102901026335',BOKL,35,17,10,287,2870.00
101,'2020102903010142',NLICL,6,22,60,777,46620.00
102,'2020102903010141',NLICL,53,22,140,777,108780.00
103,'2020102901026334',PRIN,43,42,20,604,12080.00
104,'2020102903010140',SHINE,26,46,100,276,27600.00
105,'2020102901026333',HDHPC,38,29,200,141,28200.00
106,'2020102903010139',TRH,58,3,30,252,7560.00
107,'2020102903010138',FMDBL,53,49,1000,583,583000.00
108,'2020102901026332',KBL,58,7,1000,239,239000.00
109,'2020102901026331',KBL,22,7,444,239,106116.00
110,'2020102901026330',CHCL,22,33,170,513,87210.00
111,'2020102901026329',CHCL,35,33,100,514,51400.00
112,'2020102901026328',SPDL,33,28,287,228,65436.00
113,'2020102903010137',JBBL,57,28,985,217,213745.00
114,'2020102903010136',JBBL,57,53,15,216,3240.00
115,'2020102901026327',API,44,56,639,226,144414.00
116,'2020102901026326',GBIME,45,58,190,298,56620.00
117,'2020102901026325',GBIME,42,58,130,298,38740.00
118,'2020102901026324',GBIME,53,58,50,298,14900.00
119,'2020102901026323',GBIME,17,58,30,298,8940.00
120,'2020102903010135',NADEP,39,34,11,679,7469.00
121,'2020102903010134',NADEP,39,14,11,679,7469.00
122,'2020102903010133',NADEP,39,57,23,679,15617.00
123,'2020102903010132',NADEP,39,42,13,679,8827.00
124,'2020102903010131',NADEP,39,45,13,675,8775.00
125,'2020102904004916',GIC,50,42,10,561,5610.00
126,'2020102903010130',MLBL,32,58,500,235,117500.00
127,'2020102901026322',MBL,34,57,100,236,23600.00
128,'2020102901026321',HPPL,5,38,10,215,2150.00
129,'2020102901026320',API,44,18,500,226,113000.00
130,'2020102901026319',SANIMA,29,42,200,355,71000.00
131,'2020102903010129',LBBL,28,34,172,225,38700.00
132,'2020102903010128',LBBL,32,34,905,225,203625.00
133,'2020102901026318',SANIMA,29,32,250,354,88500.00
134,'2020102901026317',UPCL,6,51,30,137,4110.00
135,'2020102901026316',UPCL,6,41,70,137,9590.00
136,'2020102901026315',UPCL,10,41,10,137,1370.00
137,'2020102901026314',NABIL,37,34,100,903,90300.00
138,'2020102901026313',KKHC,22,45,406,124,50344.00
139,'2020102903010127',NRN,38,50,10,350,3500.00
140,'2020102901026312',KKHC,22,28,500,124,62000.00
141,'2020102903010126',NRN,38,34,10,348,3480.00
142,'2020102901026311',KKHC,22,17,30,124,3720.00
143,'2020102903010125',NRN,38,49,10,348,3480.00
144,'2020102901026310',KKHC,22,45,100,124,12400.00
145,'2020102901026309',KKHC,22,38,100,124,12400.00
146,'2020102903010124',SLICL,38,34,10,618,6180.00
147,'2020102903010123',MNBBL,28,44,160,369,59040.00
148,'2020102901026308',MEGA,58,57,60,243,14580.00
149,'2020102903010122',KSBBL,34,22,80,232,18560.00
150,'2020102903010121',KSBBL,34,26,100,232,23200.00
151,'2020102903010120',MDB,34,33,250,388,97000.00
152,'2020102903010119',MDB,7,33,150,388,58200.00
153,'2020102903010118',MDB,34,33,350,388,135800.00
154,'2020102903010117',MDB,38,33,50,388,19400.00
155,'2020102903010116',MDB,41,33,200,388,77600.00
156,'2020102901026307',NBL,21,58,25,348,8700.00
157,'2020102901026306',LBL,51,57,484,282,136488.00
158,'2020102901026305',ADBL,25,49,10,472,4720.00
159,'2020102901026304',PPCL,26,51,30,179,5370.00
160,'2020102901026303',NCCB,42,25,82,238,19516.00
161,'2020102901026302',NCCB,55,25,20,238,4760.00
162,'2020102901026301',NICA,51,34,10,620,6200.00
163,'2020102903010115',SHINE,57,46,50,276,13800.00
164,'2020102901026300',RHPC,33,45,381,184,70104.00
165,'2020102901026299',RHPC,33,45,19,184,3496.00
166,'2020102901026298',RHPC,33,11,50,184,9200.00
167,'2020102901026297',RHPC,33,14,50,184,9200.00
168,'2020102901026296',SBI,29,44,170,446,75820.00
169,'2020102901026295',SBI,29,41,30,446,13380.00
170,'2020102903010114',NLIC,38,55,65,1414,91910.00
171,'2020102901026294',UNHPL,44,10,250,121,30250.00
172,'2020102901026293',AHPC,28,29,2500,232,580000.00
173,'2020102901026292',EIC,1,21,22,538,11836.00
174,'2020102901026291',EIC,1,58,73,538,39274.00
175,'2020102901026290',SRBL,32,49,363,269,97647.00
176,'2020102901026289',SRBL,32,19,137,269,36853.00
177,'2020102901026288',NIB,33,54,15,440,6600.00
178,'2020102901026287',PRVU,32,55,100,264,26400.00
179,'2020102901026286',PRVU,32,57,44,264,11616.00
180,'2020102901026285',NCCB,10,34,14,239,3346.00
181,'2020102901026284',RHPL,58,25,10,216,2160.00
182,'2020102901026283',SBL,34,48,50,347,17350.00
183,'2020102901026282',BPCL,55,42,30,413,12390.00
184,'2020102901026281',UPPER,25,57,18,296,5328.00
185,'2020102901026280',UPPER,25,48,40,296,11840.00
186,'2020102901026279',UPPER,25,1,12,296,3552.00
187,'2020102903010113',RLI,45,47,10,592,5920.00
188,'2020102901026278',PPCL,14,51,170,179,30430.00
189,'2020102903010112',RSDC,43,35,26,551,14326.00
190,'2020102901026277',MEGA,58,57,100,243,24300.00
191,'2020102901026276',NIL,29,35,45,824,37080.00
192,'2020102904004915',GIC,50,38,10,561,5610.00
193,'2020102901026275',MEGA,34,57,950,243,230850.00
194,'2020102901026274',MEGA,34,11,50,243,12150.00
195,'2020102901026273',HDHPC,56,29,10,141,1410.00
196,'2020102903010111',ICFC,25,41,36,298,10728.00
197,'2020102903010110',ICFC,25,40,700,298,208600.00
198,'2020102903010109',ICFC,25,34,2000,298,596000.00
199,'2020102903010108',ICFC,25,19,300,298,89400.00
200,'2020102903010107',ICFC,25,5,306,297,90882.00
201,'2020102903010106',ICFC,25,49,258,297,76626.00
202,'2020102901026272',CZBIL,40,34,385,239,92015.00
203,'2020102901026271',CZBIL,40,52,115,239,27485.00
204,'2020102901026270',SCB,29,28,300,683,204900.00
205,'2020102901026269',SICL,52,36,118,1374,162132.00
206,'2020102901026268',SICL,52,38,50,1374,68700.00
207,'2020102901026267',SICL,52,52,20,1374,27480.00
208,'2020102901026266',SICL,52,11,50,1374,68700.00
209,'2020102901026265',SICL,52,33,28,1372,38416.00
210,'2020102901026264',API,39,56,100,227,22700.00
211,'2020102903010105',PLIC,59,57,90,668,60120.00
212,'2020102901026263',PRVU,59,57,86,264,22704.00
213,'2020102901026262',PRVU,59,8,50,264,13200.00
214,'2020102901026261',PRVU,59,57,164,264,43296.00
215,'2020102903010104',GMFIL,19,19,500,185,92500.00
216,'2020102901026260',NCCB,55,25,30,238,7140.00
217,'2020102901026259',NCCB,6,25,50,238,11900.00
218,'2020102901026258',SRBL,56,19,10,269,2690.00
219,'2020102901026257',API,44,56,1000,226,226000.00
220,'2020102901026256',JOSHI,38,52,20,123,2460.00
221,'2020102901026255',PCBL,45,45,310,334,103540.00
222,'2020102901026254',PCBL,45,44,190,334,63460.00
223,'2020102901026253',MBL,59,57,50,236,11800.00
224,'2020102901026252',MEGA,41,25,35,242,8470.00
225,'2020102901026251',MBL,14,34,10,237,2370.00
226,'2020102901026250',AHPC,58,38,400,233,93200.00
227,'2020102901026249',BPCL,13,32,298,413,123074.00
228,'2020102903010103',SADBL,56,57,10,192,1920.00
229,'2020102903010102',MFIL,55,58,2500,330,825000.00
230,'2020102903010101',MFIL,55,58,2000,330,660000.00
231,'2020102903010100',MFIL,55,58,200,330,66000.00
232,'2020102903010099',MFIL,55,58,100,331,33100.00
233,'2020102903010098',MFIL,17,58,500,331,165500.00
234,'2020102903010097',MFIL,55,58,1000,331,331000.00
235,'2020102903010096',MFIL,55,58,2000,331,662000.00
236,'2020102903010095',MFIL,53,58,1000,331,331000.00
237,'2020102903010094',MFIL,55,58,500,331,165500.00
238,'2020102903010093',MFIL,49,58,200,331,66200.00
239,'2020102903010092',JBBL,57,53,500,216,108000.00
240,'2020102903010091',JBBL,57,35,500,216,108000.00
241,'2020102903010090',NRN,22,25,10,347,3470.00
242,'2020102903010089',HIDCL,48,42,48,204,9792.00
243,'2020102903010088',HIDCL,49,42,79,204,16116.00
244,'2020102901026248',KKHC,22,11,16,123,1968.00
245,'2020102901026247',KKHC,22,39,16,123,1968.00
246,'2020102901026246',KKHC,22,57,16,122,1952.00
247,'2020102901026245',KKHC,22,11,16,122,1952.00
248,'2020102901026244',KKHC,22,58,10,122,1220.00
249,'2020102901026243',KKHC,22,4,10,122,1220.00
250,'2020102904004914',STC,34,55,10,3620,36200.00
251,'2020102901026242',RBCL,34,19,10,12176,121760.00
252,'2020102903010087',HIDCL,49,1,30,204,6120.00
253,'2020102903010086',HIDCL,49,45,668,204,136272.00
254,'2020102903010085',HIDCL,49,41,11,204,2244.00
255,'2020102903010084',HIDCL,49,16,502,204,102408.00
256,'2020102903010083',HIDCL,49,22,50,204,10200.00
257,'2020102903010082',HIDCL,49,58,160,204,32640.00
258,'2020102901026241',UPCL,6,57,870,136,118320.00
259,'2020102901026240',UPCL,49,57,130,136,17680.00
260,'2020102901026239',SCB,52,4,91,685,62335.00
261,'2020102901026238',SCB,52,14,20,685,13700.00
262,'2020102901026237',SCB,52,45,50,685,34250.00
263,'2020102901026236',SCB,52,13,64,685,43840.00
264,'2020102901026235',SCB,52,34,75,684,51300.00
265,'2020102901026234',UPCL,32,41,500,137,68500.00
266,'2020102903010081',KSBBL,39,26,200,232,46400.00
267,'2020102903010080',NLBBL,43,19,200,753,150600.00
268,'2020102901026233',NMB,1,34,3,433,1299.00
269,'2020102901026232',NMB,34,34,200,433,86600.00
270,'2020102901026231',NMB,52,34,2000,433,866000.00
271,'2020102901026230',NMB,6,34,500,433,216500.00
272,'2020102901026229',NMB,48,34,200,433,86600.00
273,'2020102901026228',PRVU,26,57,50,264,13200.00
274,'2020102901026227',KBL,22,34,52,239,12428.00
275,'2020102901026226',KBL,22,39,504,239,120456.00
276,'2020102903010079',NRIC,35,35,80,865,69200.00
277,'2020102903010078',NRIC,35,14,195,865,168675.00
278,'2020102903010077',CFCL,45,45,10,172,1720.00
279,'2020102901026225',NHPC,33,55,230,112,25760.00
280,'2020102901026224',NHPC,57,55,500,112,56000.00
281,'2020102901026223',LEC,40,43,10,205,2050.00
282,'2020102901026222',NHDL,29,28,80,258,20640.00
283,'2020102901026221',NHDL,29,28,50,257,12850.00
284,'2020102901026220',NHDL,29,49,10,256,2560.00
285,'2020102901026219',NHDL,29,49,10,253,2530.00
286,'2020102901026218',NHDL,29,26,10,253,2530.00
287,'2020102901026217',NHDL,29,48,10,253,2530.00
288,'2020102901026216',NHDL,29,7,50,252,12600.00
289,'2020102901026215',NHDL,29,34,10,251,2510.00
290,'2020102901026214',NHDL,29,1,10,251,2510.00
291,'2020102901026213',NHDL,29,45,10,251,2510.00
292,'2020102901026212',NHDL,29,56,10,250,2500.00
293,'2020102901026211',NHDL,29,45,10,250,2500.00
294,'2020102901026210',NHDL,29,11,10,250,2500.00
295,'2020102901026209',NHDL,29,45,10,250,2500.00
296,'2020102901026208',NHDL,29,37,10,249,2490.00
297,'2020102901026207',NHDL,29,53,200,246,49200.00
298,'2020102901026206',EIC,38,8,50,537,26850.00
299,'2020102901026205',KBL,20,34,100,239,23900.00
300,'2020102901026204',KBL,38,34,148,239,35372.00
301,'2020102903010076',SIFC,3,42,300,199,59700.00
302,'2020102903010075',SIFC,57,42,500,199,99500.00
303,'2020102904004913',RBCLPO,35,28,10,11000,110000.00
304,'2020102904004912',RBCLPO,35,4,40,10980,439200.00
305,'2020102904004911',RBCLPO,35,4,30,10960,328800.00
306,'2020102901026203',PRVU,38,32,258,263,67854.00
307,'2020102901026202',NHDL,29,53,130,246,31980.00
308,'2020102901026201',NHDL,57,53,500,247,123500.00
309,'2020102901026200',NHDL,49,53,170,247,41990.00
310,'2020102901026199',AHPC,16,38,600,233,139800.00
311,'2020102901026198',NMB,43,34,200,434,86800.00
312,'2020102901026197',UIC,1,57,58,420,24360.00
313,'2020102903010074',ICFC,45,49,42,297,12474.00
314,'2020102903010073',ICFC,45,58,58,296,17168.00
315,'2020102901026196',PRVU,28,57,286,264,75504.00
316,'2020102901026195',PRVU,28,11,714,264,188496.00
317,'2020102901026194',SHIVM,52,50,20,750,15000.00
318,'2020102901026193',HDHPC,57,29,1450,141,204450.00
319,'2020102901026192',HDHPC,57,28,550,141,77550.00
320,'2020102901026191',AHPC,28,28,3000,232,696000.00
321,'2020102901026190',NMB,28,34,200,434,86800.00
322,'2020102901026189',NICA,4,34,925,620,573500.00
323,'2020102901026188',NMB,1,50,200,433,86600.00
324,'2020102901026187',ADBL,39,36,100,471,47100.00
325,'2020102901026186',NMB,8,34,500,434,217000.00
326,'2020102901026185',AHPC,39,57,10,234,2340.00
327,'2020102901026184',AHPC,39,51,600,233,139800.00
328,'2020102904004910',GIC,43,28,10,562,5620.00
329,'2020102904004909',GIC,43,13,10,562,5620.00
330,'2020102904004908',GIC,43,49,10,562,5620.00
331,'2020102901026183',PRVU,49,11,150,264,39600.00
332,'2020102901026182',SIL,4,3,143,766,109538.00
333,'2020102901026181',MEGA,37,11,50,243,12150.00
334,'2020102901026180',CHCL,14,8,200,516,103200.00
335,'2020102903010072',BFC,17,46,500,146,73000.00
336,'2020102901026179',GBIME,59,26,10,299,2990.00
337,'2020102901026178',AKPL,45,7,150,260,39000.00
338,'2020102901026177',NABIL,49,48,53,902,47806.00
339,'2020102903010071',LICN,25,33,125,1506,188250.00
340,'2020102903010070',LICN,25,36,65,1505,97825.00
341,'2020102903010069',LICN,25,13,100,1505,150500.00
342,'2020102903010068',LICN,25,16,20,1505,30100.00
343,'2020102903010067',LICN,25,14,190,1504,285760.00
344,'2020102901026176',CCBL,1,28,46,201,9246.00
345,'2020102901026175',CCBL,1,50,250,201,50250.00
346,'2020102901026174',CCBL,1,46,200,201,40200.00
347,'2020102901026173',CCBL,1,6,110,201,22110.00
348,'2020102901026172',UPPER,57,1,100,296,29600.00
349,'2020102901026171',KBL,4,56,20,240,4800.00
350,'2020102903010066',MPFL,38,7,20,145,2900.00
351,'2020102901026170',SHIVM,58,28,287,751,215537.00
352,'2020102901026169',KPCL,46,42,10,178,1780.00
353,'2020102901026168',PMHPL,42,17,50,140,7000.00
354,'2020102901026167',HDHPC,56,28,10,141,1410.00
355,'2020102901026166',PRVU,21,11,100,264,26400.00
356,'2020102901026165',NGPL,10,38,1000,203,203000.00
357,'2020102901026164',NGPL,10,6,11,203,2233.00
358,'2020102901026163',KKHC,22,38,402,121,48642.00
359,'2020102901026162',HDHPC,16,28,100,141,14100.00
360,'2020102901026161',CZBIL,55,52,43,239,10277.00
361,'2020102901026160',CZBIL,55,6,257,239,61423.00
362,'2020102903010065',JBBL,49,53,498,216,107568.00
363,'2020102903010064',MFIL,49,33,100,333,33300.00
364,'2020102903010063',RLFL,11,34,45,182,8190.00
365,'2020102901026159',KBL,38,58,52,239,12428.00
366,'2020102901026158',SRBL,17,19,100,269,26900.00
367,'2020102903010062',RLI,45,8,10,592,5920.00
368,'2020102901026157',NBB,52,25,10,237,2370.00
369,'2020102901026156',NBB,33,25,10,237,2370.00
370,'2020102903010061',NLIC,42,55,60,1414,84840.00
371,'2020102901026155',KBL,38,58,20,239,4780.00
372,'2020102901026154',NABIL,17,34,30,903,27090.00
373,'2020102901026153',AIL,17,45,10,510,5100.00
374,'2020102903010060',HIDCL,5,58,150,204,30600.00
375,'2020102901026152',PCBL,32,45,53,333,17649.00
376,'2020102904004907',GIC,50,47,10,561,5610.00
377,'2020102901026151',EBL,38,38,35,740,25900.00
378,'2020102903010059',GMFBS,25,7,10,830,8300.00
379,'2020102903010058',GMFBS,25,7,50,826,41300.00
380,'2020102903010057',GMFBS,25,38,10,826,8260.00
381,'2020102903010056',GMFBS,25,28,10,825,8250.00
382,'2020102903010055',GMFBS,25,47,100,825,82500.00
383,'2020102901026150',API,44,6,300,226,67800.00
384,'2020102901026149',HDHPC,51,55,140,140,19600.00
385,'2020102901026148',HDHPC,43,55,860,140,120400.00
386,'2020102901026147',CCBL,10,6,585,201,117585.00
387,'2020102901026146',PRVU,55,11,36,264,9504.00
388,'2020102901026145',PRVU,55,41,100,264,26400.00
389,'2020102901026144',PRVU,55,7,164,264,43296.00
390,'2020102901026143',NMB,49,34,30,434,13020.00
391,'2020102901026142',NMB,49,34,50,434,21700.00
392,'2020102901026141',GHL,48,42,30,124,3720.00
393,'2020102903010054',RLI,48,22,20,592,11840.00
394,'2020102903010053',SADBL,39,29,1000,190,190000.00
395,'2020102901026140',SHPC,45,13,200,340,68000.00
396,'2020102901026139',SHPC,45,41,1000,340,340000.00
397,'2020102901026138',SHPC,45,32,1000,340,340000.00
398,'2020102901026137',SHPC,45,22,200,340,68000.00
399,'2020102903010052',NLIC,35,21,20,1412,28240.00
400,'2020102901026136',API,44,58,1416,226,320016.00
401,'2020102901026135',UPPER,58,1,95,296,28120.00
402,'2020102901026134',SICL,5,33,200,1372,274400.00
403,'2020102901026133',NABIL,11,34,10,903,9030.00
404,'2020102901026132',BOKL,22,48,72,286,20592.00
405,'2020102901026131',KKHC,38,38,100,121,12100.00
406,'2020102903010051',SFCL,25,39,300,140,42000.00
407,'2020102903010050',SFCL,25,41,60,140,8400.00
408,'2020102901026130',PRVU,57,7,36,264,9504.00
409,'2020102901026129',PRVU,57,33,964,264,254496.00
410,'2020102901026128',HDL,45,33,10,1875,18750.00
411,'2020102901026127',HPPL,1,41,10,214,2140.00
412,'2020102901026126',HPPL,1,58,10,214,2140.00
413,'2020102901026125',RHPL,58,25,10,216,2160.00
414,'2020102901026124',GBIME,40,26,100,299,29900.00
415,'2020102901026123',CZBIL,28,51,160,238,38080.00
416,'2020102901026122',CZBIL,41,51,100,238,23800.00
417,'2020102901026121',CZBIL,28,51,40,238,9520.00
418,'2020102903010049',LICN,25,14,10,1504,15040.00
419,'2020102901026120',NBB,58,25,20,237,4740.00
420,'2020102903010048',CIT,45,38,50,3702,185100.00
421,'2020102903010047',NLIC,35,35,100,1412,141200.00
422,'2020102901026119',SANIMA,8,42,400,355,142000.00
423,'2020102901026118',SANIMA,8,52,100,354,35400.00
424,'2020102901026117',HDHPC,35,28,10,141,1410.00
425,'2020102903010046',NLICL,53,16,100,778,77800.00
426,'2020102903010045',RSDC,25,34,11,555,6105.00
427,'2020102903010044',SLICL,38,58,990,616,609840.00
428,'2020102901026116',CBL,42,16,73,178,12994.00
429,'2020102901026115',CBL,42,16,200,178,35600.00
430,'2020102901026114',CBL,42,39,848,178,150944.00
431,'2020102901026113',CBL,42,11,500,178,89000.00
432,'2020102901026112',CBL,42,26,982,178,174796.00
433,'2020102901026111',EIC,36,8,200,537,107400.00
434,'2020102903010043',RLI,48,42,10,592,5920.00
435,'2020102904004906',GIC,50,1,10,561,5610.00
436,'2020102901026110',KBL,1,56,50,240,12000.00
437,'2020102901026109',NBL,4,58,12,348,4176.00
438,'2020102901026108',SHIVM,52,14,13,750,9750.00
439,'2020102901026107',SHIVM,20,14,70,750,52500.00
440,'2020102901026106',SHIVM,45,14,100,750,75000.00
441,'2020102901026105',SHIVM,52,14,42,750,31500.00
442,'2020102903010042',SHINE,39,46,20,276,5520.00
443,'2020102901026104',MEGA,41,11,50,242,12100.00
444,'2020102901026103',MEGA,57,11,100,242,24200.00
445,'2020102901026102',MEGA,16,11,50,242,12100.00
446,'2020102903010041',NTC,50,34,345,737,254265.00
447,'2020102903010040',NTC,50,52,50,737,36850.00
448,'2020102903010039',NTC,50,1,15,737,11055.00
449,'2020102901026101',PIC,34,4,846,787,665802.00
450,'2020102901026100',MHNL,19,13,40,188,7520.00
451,'2020102901026099',RRHP,38,58,10,200,2000.00
452,'2020102901026098',RRHP,38,38,29,199,5771.00
453,'2020102901026097',AKJCL,25,4,190,118,22420.00
454,'2020102901026096',GBIME,45,26,420,299,125580.00
455,'2020102901026095',GBIME,45,38,80,299,23920.00
456,'2020102901026094',AKPL,45,25,10,260,2600.00
457,'2020102901026093',API,53,58,100,226,22600.00
458,'2020102901026092',SRBL,19,19,303,269,81507.00
459,'2020102901026091',SRBL,19,13,197,269,52993.00
460,'2020102901026090',CZBIL,40,6,500,239,119500.00
461,'2020102901026089',PRIN,43,42,11,602,6622.00
462,'2020102903010038',NLIC,42,55,60,1414,84840.00
463,'2020102901026088',CCBL,51,51,300,200,60000.00
464,'2020102901026087',EBL,39,38,20,740,14800.00
465,'2020102901026086',PRVU,56,33,100,264,26400.00
466,'2020102901026085',RADHI,32,54,12,280,3360.00
467,'2020102901026084',RADHI,32,47,10,279,2790.00
468,'2020102901026083',RADHI,32,52,12,279,3348.00
469,'2020102901026082',PRVU,36,33,50,264,13200.00
470,'2020102903010037',KSBBL,34,26,200,232,46400.00
471,'2020102903010036',KSBBL,34,28,300,232,69600.00
472,'2020102903010035',KSBBL,34,57,500,232,116000.00
473,'2020102903010034',SFCL,58,41,50,140,7000.00
474,'2020102903010033',ALICL,34,33,180,737,132660.00
475,'2020102903010032',RLI,48,57,10,592,5920.00
476,'2020102901026081',HDHPC,14,28,500,141,70500.00
477,'2020102901026080',KKHC,22,38,1964,121,237644.00
478,'2020102901026079',ADBL,54,49,52,472,24544.00
479,'2020102901026078',ADBL,54,45,48,472,22656.00
480,'2020102901026077',NABIL,5,34,200,903,180600.00
481,'2020102901026076',PCBL,32,29,64,333,21312.00
482,'2020102901026075',PCBL,29,29,36,333,11988.00
483,'2020102903010031',GBLBS,3,22,160,526,84160.00
484,'2020102901026074',SICL,58,33,22,1372,30184.00
485,'2020102901026073',SICL,58,44,28,1370,38360.00
486,'2020102901026072',SHPC,11,28,430,339,145770.00
487,'2020102901026071',BARUN,59,45,10,190,1900.00
488,'2020102903010030',GMFIL,28,42,50,183,9150.00
489,'2020102903010029',GMFIL,43,42,50,183,9150.00
490,'2020102903010028',GMFIL,28,42,50,184,9200.00
491,'2020102901026070',PRVU,8,33,500,264,132000.00
492,'2020102901026069',MEGA,39,32,10,244,2440.00
493,'2020102901026068',UPPER,40,1,793,296,234728.00
494,'2020102901026067',UPPER,40,32,50,296,14800.00
495,'2020102901026066',UPPER,40,3,157,296,46472.00
496,'2020102904004905',RBCLPO,57,4,10,10960,109600.00
497,'2020102901026065',RHPL,58,25,10,216,2160.00
498,'2020102903010027',LICN,25,22,200,1502,300400.00
499,'2020102903010026',LICN,25,54,100,1502,150200.00
